t(h),CO2_air(mg m^-3),CO2_top(mg m^-3),VP_air(Pa),Vp_top(Pa)
,,,,
0,440.0749707,440,2310.676949,2319.176188
,,,,
1,458.5755569,458.5115309,2585.215238,2594.379592
,,,,
2,467.7374391,467.6525933,2595.769818,2604.892313
,,,,
3,471.233409,471.1097703,2600.169064,2608.40403
,,,,
4,470.9235571,470.7897573,2596.45218,2604.684466
,,,,
5,470.4286615,470.2947958,2580.930653,2589.055331
,,,,
6,470.0344886,469.8922169,2559.027546,2566.861361
,,,,
7,470.137087,470.0076094,2578.416698,2586.40567
,,,,
8,470.8726467,470.7316552,2924.189924,2932.3836
,,,,
9,472.0449086,471.8890626,3209.466094,3217.425299
,,,,
10,473.8355533,473.6724586,3355.360782,3364.096525
,,,,
11,476.3829523,476.1969764,3723.034702,3731.484951
,,,,
12,480.7050674,480.5067618,4249.218452,4256.288213
,,,,
13,486.496507,486.2928202,4477.945787,4487.234916
,,,,
14,487.1296108,486.9288037,3835.515923,3845.252984
,,,,
15,483.4599917,483.2943438,3747.088155,3757.167974
,,,,
16,482.5455258,482.3856027,3482.590263,3492.435398
,,,,
17,481.9479724,481.7782457,3451.910066,3461.300079
,,,,
18,480.2907878,480.1215094,3450.579759,3459.961165
,,,,
19,478.6341387,478.4716377,3208.933989,3217.954348
,,,,
20,477.1371762,476.9812581,3085.717601,3094.51126
,,,,
21,477.4665864,477.3446825,2868.591873,2877.655023
,,,,
22,479.0957233,478.9929521,2964.958581,2974.533513
,,,,
23,482.588679,482.5081761,2895.762248,2905.919441
,,,,
24,484.666238,484.5982158,2785.319889,2795.376109
,,,,
25,486.2620411,486.1929935,2720.20541,2729.939497
,,,,
26,486.4443634,486.3612012,2767.612528,2777.678125
,,,,
27,485.3433354,485.230604,2739.097014,2748.458371
,,,,
28,481.7556648,481.6362276,2701.721791,2710.652102
,,,,
29,479.6408315,479.5259185,2686.524429,2695.528578
,,,,
30,478.3751361,478.2631231,2659.791578,2668.863347
,,,,
31,477.5875481,477.4764669,2648.692834,2657.435743
,,,,
32,478.5571482,478.4539077,2797.276462,2806.452295
,,,,
33,480.874223,480.7654334,3009.617335,3019.618168
,,,,
34,482.023547,481.8494433,3302.942731,3311.911516
,,,,
35,481.5462307,481.4070751,3429.109764,3440.024377
,,,,
36,479.2537541,479.0598095,3174.9365,3183.579166
,,,,
37,476.7973194,476.6088366,3550.228553,3559.207434
,,,,
38,476.4616426,476.2617841,3615.783087,3625.126935
,,,,
39,475.8326427,475.6730656,3329.578234,3339.030249
,,,,
40,475.1132899,474.9409959,3249.102002,3257.990626
,,,,
41,474.2943462,474.1463417,3147.253527,3156.796788
,,,,
42,477.4845414,477.3583582,3386.76686,3397.405961
,,,,
43,479.8349037,479.6775943,3247.352585,3256.913375
,,,,
44,479.1719432,479.0182715,3181.25948,3190.797432
,,,,
45,480.6291184,480.5346005,2955.413891,2965.658008
,,,,
46,482.7456649,482.6487371,2932.869214,2942.832022
,,,,
47,485.3049181,485.2863412,2851.842961,2862.844756
,,,,
48,490.551951,490.4946307,2790.164761,2800.13389
,,,,
49,489.1238885,489.0534896,2728.029392,2737.92778
,,,,
50,486.7312826,486.6061037,2616.844724,2625.563506
,,,,
51,480.999439,480.87271,2551.031586,2559.222367
,,,,
52,478.7933833,478.729175,2564.532037,2573.655711
,,,,
53,479.4538744,479.3543551,2598.687489,2607.522193
,,,,
54,479.0662655,478.9898436,2578.968176,2587.954095
,,,,
55,479.8216125,479.734121,2581.560737,2590.51665
,,,,
56,480.7017205,480.6101636,2792.690983,2801.824101
,,,,
57,481.6268333,481.5051507,3157.485712,3167.085503
,,,,
58,483.5346921,483.3799071,3575.251077,3585.266877
,,,,
59,479.4452988,479.2335994,3299.895882,3308.507413
,,,,
60,474.4537967,474.2796954,2977.74786,2986.332588
,,,,
61,473.003351,472.8525867,3077.643076,3086.558946
,,,,
62,474.7242641,474.5646451,3335.944902,3345.272571
,,,,
63,474.9456874,474.7370042,3370.685065,3379.172084
,,,,
64,474.2622393,474.0138088,3940.115733,3947.104105
,,,,
65,477.3843809,477.1905032,3762.778558,3772.178953
,,,,
66,478.4530036,478.3318699,3006.715267,3016.80494
,,,,
67,481.0777872,480.9740686,3134.364942,3144.734323
,,,,
68,484.5317024,484.4518724,2722.272351,2731.366386
,,,,
69,488.9499169,488.9107824,2611.234697,2621.141467
,,,,
70,493.5169354,493.5002316,2774.521204,2785.195471
,,,,
71,497.0197677,497.0054187,2723.895683,2734.500019
,,,,
72,491.4049859,491.2555247,2676.640974,2684.907918
,,,,
73,488.4204649,488.3952059,2626.195574,2636.086868
,,,,
74,489.5230026,489.4706013,2570.966483,2580.346676
,,,,
75,490.4248203,490.4149503,2546.115711,2556.021521
,,,,
76,493.6642899,493.6505626,2514.197045,2524.003606
,,,,
77,495.690798,495.6778454,2447.437083,2456.702441
,,,,
78,497.0295026,497.0165093,2523.564245,2533.140022
,,,,
79,498.3349728,498.3232988,2531.755753,2541.743517
,,,,
